"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"CLAW SM50 Professional Studio Monitoring DJ Wired Over Ear Headphones with 2 Detachable Cables (2.8m Coiled Cable & 1.2m Straight Cable with Mic and in-line Controls) (SM50 Black)","B07VTQ9QKC","https://www.amazon.in/dp/B07VTQ9QKC?psc=1","https://m.media-amazon.com/images/I/61M1rAD4+8L._SY450_.jpg","CLAW","1,990",572,0,300,"1,228,385.66",179,61,"N/A",438.84,2,4.3,"2,474",8,24,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","16.70 x 10.50 x 14.00 cm",0.36,"N/A","Aug 24, 2019",,"No",78,"Cocoblu Retail"
2.,"Audio-Technica ATH-M20x Over-Ear Professional Studio Monitor Headphones","B00HVLUR18","https://www.amazon.in/dp/B00HVLUR18?psc=1","https://m.media-amazon.com/images/I/81zcnWFPwVS._SX679_.jpg","Audio-Technica","4,308",928,0,400,"4,671,397.56",71,71,"N/A","1,188.78",8,4.4,"27,627",10,133,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","36.20 x 14.20 x 30.70 cm",0.66,"N/A","Sep 27, 2025",,"No",5,"Cocoblu Retail"
3.,"Audio Array AH-50 Professional DJ Headphone | 50mm Drivers | 32Ω | 20Hz-20kHz | Dual Detachable Cables With Mic & Controls | Buddy Share Technology | 105 dB SPL | One Ear Listening | Monitoring, Mixing","B0FG88HVQ8","https://www.amazon.in/dp/B0FG88HVQ8?psc=1","https://m.media-amazon.com/images/I/71PVNygRkCL._SX569_.jpg","Audio Array","1,999",400,0,300,"799,837.2",201,113,"N/A",440.01,2,4.7,42,9,16,"Audio Array® by Cambium","Musical Instruments","Standard Size","FBA","17.00 x 10.40 x 14.00 cm",0.37,"N/A","Jul 1, 2025",,"No",7,"Audio Array® by Cambium"
4.,"hayden HY-HD10 Professional Studio Headphones Over-Ear, 50mm Drivers, Foldable, Lightweight, Dual Detachable Cables (2.8m Coiled & 1.2m with Mic) for DJ, Gaming, Recording, Mixing, Monitoring (Black)","B0DR35TX1N","https://www.amazon.in/dp/B0DR35TX1N?psc=1","https://m.media-amazon.com/images/I/71mlQ0toETL._SY450_.jpg","hayden","N/A",731,0,"N/A","1,378,799.43",199,272,"N/A","N/A",1,4.3,460,9,20,,"Musical Instruments","Standard Size","FBA","19.00 x 13.00 x 16.20 cm",0.55,"N/A","Dec 20, 2024",,"No",14,
5.,"DIGIMORE Professional Studio Headphones | Over-Ear | 50mm Drivers | Lightweight | 6.35mm Connector for DJ, Gaming, Recording, Mixing, Monitoring (D-190)","B0FJ2BQ466","https://www.amazon.in/dp/B0FJ2BQ466?psc=1","https://m.media-amazon.com/images/I/81l8XYbAdUL._SX569_.jpg","DIGIMORE","1,999",94,0,50,"188,563.8",152,433,"N/A","N/A",1,4.2,43,7,10,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","32.10 x 6.40 x 26.00 cm",0.51,"N/A","Jul 18, 2025",,"No",7,"Cocoblu Retail"
6.,"Audio Array AH-45-BK Studio Monitoring & Live Recording Headphones | 20-20KHz, 32 Ω, 100dB SPL | 40mm Depp Bass Closed-Back Driver | 3m OFC Cable | 3.5mm + 6.3mm Adapter (Black)","B0FQBXS6Y2","https://www.amazon.in/dp/B0FQBXS6Y2?psc=1","https://m.media-amazon.com/images/I/71PaKAfgI1L._SY355_.jpg","Audio Array","1,549",125,0,50,"193,177.78",177,622,"N/A",425.26,2,3.8,20,6,8,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","25.10 x 9.80 x 18.50 cm",0.38,"N/A","Sep 9, 2025",,"No",5,"Cocoblu Retail"
7.,"Behringer Hpm1000 Multi-Purpose Wired Over Ear Headphones Without Mic (Black)","B00062PN6I","https://www.amazon.in/dp/B00062PN6I?psc=1","https://m.media-amazon.com/images/I/61ooMo4orOL._SY741_.jpg","Behringer","1,799",62,0,50,"109,359.08",77,678,"N/A",463.61,2,3.9,"5,122",5,20,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","26.10 x 9.90 x 19.90 cm",0.31,"N/A","Aug 7, 2012",,"No",162,"Cocoblu Retail"
8.,"Sennheiser HD 25 Plus Professional DJ Headphones | Dynamic, Closed‑Back | Rotatable Ear Cup | Includes Spare Earpads | Straight/Coiled Cables | Ideal for DJ Mixing, Live Monitoring, Studio Work","B01CT3WD9Q","https://www.amazon.in/dp/B01CT3WD9Q?psc=1","https://m.media-amazon.com/images/I/61F1p8JOTcL._SY355_.jpg","Sennheiser","15,990",96,0,20,"1,277,325.65",193,721,"N/A","N/A",2,4.4,"3,008",3,19,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","24.51 x 8.79 x 19.30 cm",0.48,"N/A","Mar 17, 2016",,"No",119,"Cocoblu Retail"
9.,"Sennheiser Professional Audio HD 200 PRO Wired Over Ear Headphones Without mic (Black)","B0002DDGPG","https://www.amazon.in/dp/B0002DDGPG?psc=1","https://m.media-amazon.com/images/I/51eX2392IdL._SY741_.jpg","Sennheiser","4,090",56,0,"N/A","227,867.62",86,782,"N/A",746.17,2,4.2,403,5,1,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","23.50 x 10.20 x 19.20 cm",0.43,"N/A","Sep 7, 2012",,"No",161,"Cocoblu Retail"
10.,"Pioneer DJ CUE1 On Ear DJ Wired Headphones - Black","B08GBZFRN3","https://www.amazon.in/dp/B08GBZFRN3?psc=1","https://m.media-amazon.com/images/I/81KRgK0ziEL._SY450_.jpg","Pioneer DJ","8,217",64,0,20,"529,541.61",50,926,"N/A","N/A",6,4.6,"2,072",18,16,"Cocoblu Retail","Musical Instruments","Standard Size","FBA","25.00 x 10.30 x 18.90 cm",0.53,"N/A","Sep 15, 2020",,"No",65,"Cocoblu Retail"
