"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  ₹","Sales","Variation Sales Strength (1 - 10)","Recent Purchases","Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  ₹","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
1.,"Pigeon Amaze Plus Electric Kettle 1.5 L, 1300 Watt, Stainless Steel Body with Auto Shut-off Feature Used for Boiling Water - (Silver)","B07WMS7TWB","https://www.amazon.in/dp/B07WMS7TWB?psc=1","https://m.media-amazon.com/images/I/51DGcy8eBCL._SY450_.jpg","Pigeon",549,"N/A",0,"10,000","N/A",133,36,"N/A","N/A",4,4,"174,228","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
2.,"Milton Rapid Electric Kettle 1.8L | 1500 Watts | Stainless Steel Hot Water portable Electric Kettle for Home, Office | Auto Shut-Off with Wide Mouth | Cool-touch Handle and Single-Touch Lid Lock","B0F54GKQ38","https://www.amazon.in/dp/B0F54GKQ38?psc=1","https://m.media-amazon.com/images/I/51lYFOP2mUL._SX425_.jpg","MILTON",636,"N/A",0,"10,000","N/A",194,45,"N/A","N/A",1,3.8,"4,308","N/A","N/A","HYDRO VALVES.","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","HYDRO VALVES."
3.,"Pigeon Kessel Multipurpose Kettle (12173) 1.2 litres with Stainless Steel Body, used for boiling Water and milk, Tea, Coffee, Oats, Noodles, Soup etc. 600 Watt (Black & Silver)","B01I1LDZGA","https://www.amazon.in/dp/B01I1LDZGA?psc=1","https://m.media-amazon.com/images/I/41JJWFk14hL._SX450_.jpg","Pigeon",899,"N/A",0,"5,000","N/A",176,75,"N/A","N/A",6,3.8,"27,257","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
4.,"Milton Appliances Go Electric Kettle 1.8 Litre I 3X Protection - Dry Boil, Auto Shut Off, Overheat I 1350 Watt I Super Fast Boiling I Stainless Steel I 360° Power Base I 1 Year Warranty","B091V8HK8Z","https://www.amazon.in/dp/B091V8HK8Z?psc=1","https://m.media-amazon.com/images/I/612jrIe9zEL._SX466_.jpg","MILTON",799,"N/A",0,"2,000","N/A",185,188,"N/A","N/A",3,4,"9,536","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
5.,"Prestige 1.5L PKOSS Stainless Steel Electric Kettle | 1350 Watts| Elegant Design | Cool-touch Handle and Lid | Automatic Cut-Off and Single-Touch Lid Locking | Black | 1Y Warranty | ISI Certified","B01MQZ7J8K","https://www.amazon.in/dp/B01MQZ7J8K?psc=1","https://m.media-amazon.com/images/I/51Q11RNy8dL._SX679_.jpg","Prestige",649,"N/A",0,"4,000","N/A",195,278,"N/A","N/A",1,3.9,"78,914","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
6.,"Pigeon 1.5 litre Hot Kettle and Stainless Steel Water Bottle Combo used for boiling Water, Making Tea and Coffee, Instant Noodles, Soup with Auto Shut- off Feature, 1300 W","B09Y5FZK9N","https://www.amazon.in/dp/B09Y5FZK9N?psc=1","https://m.media-amazon.com/images/I/510sIxSnACL._SY355_.jpg","Pigeon",659,"N/A",0,"3,000","N/A",171,330,"N/A","N/A",1,3.8,"13,194","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
7.,"Havells Aqua Plus Electric Kettle 1.2 Litre, 1250 Watt | 304 Stainless Steel Inner Body | Cool Touch Body | Auto Shut-Off |Wider Mouth|2 Years Door Step Warranty by Havells (Black)","B083GKDRKR","https://www.amazon.in/dp/B083GKDRKR?psc=1","https://m.media-amazon.com/images/I/61SBF33TizS._SX450_.jpg","Havells","1,489","N/A",0,"3,000","N/A",180,376,"N/A","N/A",8,4.4,"30,397","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
8.,"Havells Aqua Plus Electric Kettle 1.2 Litre, 1250 Watt | 304 Stainless Steel Inner Body | Cool Touch Body | Auto Shut-Off |Wider Mouth|2 Years Door Step Warranty by Havells (Blue)","B07GVLMRBT","https://www.amazon.in/dp/B07GVLMRBT?psc=1","https://m.media-amazon.com/images/I/51EGS1jWNeS._SX425_.jpg","Havells","1,381","N/A",0,"3,000","N/A",179,401,"N/A","N/A",6,4.4,"15,464","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
9.,"XECH Portable Electric Kettle 300ml | Mini Electric Kettles for Hot Water | Small Travel Kettle with In-Built Cable | Bottle-Shaped Kettle for Tea, Coffee | Travel Accessories (Hydroboil Mini)","B0G12MZVB3","https://www.amazon.in/dp/B0G12MZVB3?psc=1","https://m.media-amazon.com/images/I/61ZN4xKyyNL._SX569_.jpg","Xech",998,"N/A",0,"2,000","N/A",192,418,"N/A","N/A",1,4.2,"2,940","N/A","N/A","XECH TECHNOLOGIES PVT LTD","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","XECH TECHNOLOGIES PVT LTD"
10.,"AGARO Regency Multi Cook Kettle With Steamer, 1.2L Inner Pot, Double Layered Body, Variable Temperature Settings, Wide Mouth, Boiling, Steaming, Tea, Coffee, Egg, Vegetable Boiling, 600W, Sea Green","B071P7183Y","https://www.amazon.in/dp/B071P7183Y?psc=1","https://m.media-amazon.com/images/I/71a+McifdvL._SY355_.jpg","AGARO","1,799","N/A",0,"1,000","N/A",197,469,"N/A","N/A",4,3.9,"5,128","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
11.,"Butterfly EKN 1.5 Litre Stainless Steel Electric Kettle | 1500 W | 360� Swivel Power Base | Auto Shut Off | For Hot Water, Tea, Coffee, Noodles | Dry Boil Protection |","B078V8R9BS","https://www.amazon.in/dp/B078V8R9BS?psc=1","https://m.media-amazon.com/images/I/71cFxsy+BCL._SY450_.jpg","Butterfly",599,"N/A",0,"2,000","N/A",167,499,"N/A","N/A",4,4,"47,788","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
12.,"Prestige 1.5 Litre Kettle 1500-watts, Red","B07VNFP3C2","https://www.amazon.in/dp/B07VNFP3C2?psc=1","https://m.media-amazon.com/images/I/51zGuMpVccL._SX679_.jpg","Prestige",599,"N/A",0,"3,000","N/A",41,505,"N/A","N/A",1,3.9,"43,515","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
13.,"Amazon Basics Multi-Kettle Steamer 1.2L | Adjustable Power Modes 600 W | 7 - Egg Tray, Idli Tray, Iron Grill And Steamer | SS 201 Steel | Automatic Overheat Protection | Multipurpose Kettle","B0F6V8QHWH","https://www.amazon.in/dp/B0F6V8QHWH?psc=1","https://m.media-amazon.com/images/I/71fGCgazIUL._SX466_.jpg","amazon basics","1,099","N/A",0,"1,000","N/A",189,"1,002","N/A","N/A",1,3.9,"69,270","N/A","N/A","RetailEZ Pvt Ltd","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","RetailEZ Pvt Ltd"
14.,"Goodscity Multipurpose Electric Kettle with Ceramic Coating 1.2L| Multi Cooker Kettle Boil, Steam, Fry, Saute|Multi Cook for Water, Egg, Tea, Soup, Coffee, Babyfood| Hostel, Travelling| 600W|1Year Waranty","B0FF1W6QYW","https://www.amazon.in/dp/B0FF1W6QYW?psc=1","https://m.media-amazon.com/images/I/61EykFawz8L._SY450_.jpg","GOODSCITY","1,998","N/A",0,"1,000","N/A",204,"1,088","N/A","N/A",2,4.3,"1,300","N/A","N/A","GOODSCITY","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","GOODSCITY"
15.,"Cookwell Multipurpose Cook Kettle With 1.5L Nonstick Inner Pot, Stainless Steel Mess, Idli Stand, Stainless Steel Steamer, Egg Tray (600W)","B0FGJY28NW","https://www.amazon.in/dp/B0FGJY28NW?psc=1","https://m.media-amazon.com/images/I/71vHpGnWEdL._SX425_.jpg","COOKWELL",999,"N/A",0,"1,000","N/A",138,"1,155","N/A","N/A",1,4.2,415,"N/A","N/A","Appliance E-shop","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","Appliance E-shop"
16.,"InstaCuppa Stainless Steel 3-In-1 1.2Liter Multi Cook Kettle With Steamer, Non-Stick Inner Pot, Adjustable Temperature, Ideal For Boiling Milk, Tea, Coffee, Eggs & Steaming Veggies, 600 Watts, White","B0C2ZG13B8","https://www.amazon.in/dp/B0C2ZG13B8?psc=1","https://m.media-amazon.com/images/I/71sXG9x1bSL._SX522_.jpg","InstaCuppa","1,798","N/A",0,700,"N/A",198,"1,265","N/A","N/A",1,4,"2,867","N/A","N/A","InstaCuppa Services","Home & Kitchen","N/A","FBA","N/A","N/A","N/A","N/A",,"No","N/A","InstaCuppa Services"
